0H6,2011/04/18 00:53:10,114.072464,22.531633,0,58,2,
0H6,2011/04/18 00:53:18,114.073700,22.531633,0,61,1,
0H6,2011/04/18 00:54:10,114.078903,22.534367,0,42,0,
0H6,2011/04/18 00:54:40,114.081169,22.536882,0,53,1,
0H6,2011/04/18 00:55:10,114.085800,22.537201,0,55,1,
0H6,2011/04/18 00:55:40,114.090370,22.537649,0,68,1,
0H6,2011/04/18 00:56:10,114.095383,22.537884,0,61,1,
0H6,2011/04/18 00:56:40,114.099701,22.537884,0,41,2,
0H6,2011/04/18 00:57:10,114.103302,22.537983,0,47,2,
0H6,2011/04/18 00:57:40,114.106598,22.539301,0,64,0,
0H6,2011/04/18 00:58:10,114.106766,22.542601,0,48,7,
0H6,2011/04/18 00:58:40,114.107414,22.544832,0,45,1,
0H6,2011/04/18 00:59:10,114.111748,22.545517,0,54,1,
0H6,2011/04/18 00:59:40,114.116035,22.546133,0,52,1,
0H6,2011/04/18 00:59:48,114.116898,22.546301,0,26,1,
0H6,2011/04/18 01:00:10,114.116951,22.546368,0,0,1,
0H6,2011/04/18 01:00:40,114.117218,22.546417,0,26,1,
0H6,2011/04/18 01:01:10,114.120880,22.547033,0,42,1,
0H6,2011/04/18 01:01:40,114.124832,22.547649,0,47,1,
0H6,2011/04/18 01:01:48,114.125648,22.547783,0,24,1,
0H6,2011/04/18 01:02:18,114.125999,22.547882,0,24,0,
0H6,2011/04/18 01:03:10,114.126114,22.552900,0,33,0,
0H6,2011/04/18 01:03:40,114.127533,22.555117,0,43,0,
0H6,2011/04/18 01:04:10,114.129333,22.555651,0,33,3,
0H6,2011/04/18 01:04:40,114.131203,22.554399,0,28,1,
0H6,2011/04/18 01:05:10,114.132797,22.555433,0,28,0,
0H6,2011/04/18 01:05:40,114.133904,22.557051,0,21,0,
0H6,2011/04/18 01:06:10,114.135002,22.558582,0,27,0,
0H6,2011/04/18 01:07:40,114.138718,22.564083,0,0,0,
0H6,2011/04/18 01:08:10,114.138351,22.565350,0,47,7,
0H6,2011/04/18 01:08:40,114.137016,22.567818,0,41,0,
0H6,2011/04/18 01:09:10,114.137970,22.569500,0,28,7,
0H6,2011/04/18 01:09:40,114.137833,22.572132,0,56,0,
0H6,2011/04/18 01:10:10,114.138916,22.575033,0,18,0,
